시도명,센터명,소재지,전화번호,홈페이지,위도,경도,유형,비고
강원,강릉중독관리통합지원센터,강릉시 경강로 2279 강맥빌딩 A동 2층,033-653-9668,https://gnamc.or.kr/,37.7666940603212,128.910994532815,중독관리센터,
강원,원주시중독관리통합지원센터,원주시 원일로 139 원주건강문화센터 지하 1층,033-748-5119,http://alja.yonsei.ac.kr,37.3515496042529,127.946802942893,중독관리센터,
강원,춘천중독관리통합지원센터,춘천시 삭주로 84 수인빌딩 3층,033-255-3482,www.alcoholfree.or.kr,37.8833965987947,127.740265319333,중독관리센터,
경남,경남광역중독관리통합지원센터,경남 창원시 의창구 동읍 동읍로 457번길 48 (경남사회복지센터),055-239-1400,https://www.gnmhc.or.kr/sub02/sub03_01.php,35.3095941427629,128.651149985932,중독관리센터,
경남,김해중독관리통합지원센터,"경남 김해시 주촌면 주선로 29-1, 건강생활지원센터 1층",055-314-0317,http://www.ghacc.co.kr,35.2347774158212,128.845757106954,중독관리센터,
경남,마산중독관리통합지원센터,"경남 창원시 마산합포구 합포로 2, 3층",055-247-6994,http://www.masanacc.or.kr,35.2026558154341,128.572613574135,중독관리센터,
경남,양산시중독관리통합지원센터,경남 양산시 중앙로 7-32 양산시 보건복지센터 5층,055-367-9072,http://www.yscamc.org,35.3321571425744,129.037994695879,중독관리센터,
경남,진주중독관리통합지원센터,"경남 진주시 진주대로 816번길 20, 2층",055-758-7801,http://www.jinjuacc.org,35.1741509438565,128.095877753988,중독관리센터,
경남,창원중독관리통합지원센터,"경남 창원시 성산구 중앙대로 162번길 8, 4층",055-225-7851,http://www.cwacc.or.kr,35.2278113,128.6855882,중독관리센터,
경북,구미중독관리통합지원센터,경북 구미시 검성로 115-1,054-474-9791,http://gmaddiction.or.kr,36.1182736174266,128.429909030386,중독관리센터,
경북,포항중독관리통합지원센터,"경북 포항시 북구 삼흥로 98, 북구보건소 별관 2층",054-270-4191,https://www.pohang.go.kr/health/index.do,36.0706618169576,129.380437428062,중독관리센터,
경북,안동중독관리통합지원센터,경북 안동시 보현로 12,,https://www.kyongbuk.co.kr/news/articleView.html?idxno=4028077,36.5500366628723,128.758853045931,중독관리센터,
광주,동구중독관리 통합지원센터,"광주광역시 동구 구성로 190, 흥국생명빌딩 2층(금남로5가)",062-222-1195,http://www.yohanacc.or.kr/,35.1525711728099,126.91394143172,중독관리센터,
광주,서구중독관리 통합지원센터,"광주광역시 서구 풍금로151번길 6-2, 연수빌딩 2층(금호동)",062-654-3802,http://www.dsracc.or.kr/,35.1305374309455,126.85834741441,중독관리센터,
